Day,Outlook,Temperature,Humidity,Wind,Play
D1,Overcast,Mild,Normal,Strong,Yes
D2,Sunny,Mild,Normal,Strong,Yes
D3,None,Mild,High,Strong,No
D4,Sunny,Mild,High,Weak,Yes
D5,Sunny,Cool,Normal,Strong,Yes
D6,None,Cool,Normal,Strong,Yes
D7,Sunny,Mild,High,Weak,Yes
D8,Sunny,Mild,Normal,Weak,Yes
D9,Rainy,Mild,Normal,Weak,No
D10,Rainy,Cool,High,Weak,No
D11,Rainy,Mild,Normal,Weak,No
D12,Sunny,Mild,Normal,None,Yes
D13,Rainy,Hot,Normal,Weak,No
D14,Sunny,Cool,Normal,Weak,Yes
D15,Sunny,Mild,High,Weak,Yes
D16,Overcast,Mild,High,Strong,Yes
D17,Overcast,Mild,High,Weak,Yes
D18,Sunny,Cool,High,Weak,Yes
D19,None,Mild,High,Weak,No
D20,Rainy,Hot,High,Strong,No
D21,Rainy,Cool,High,Strong,No
D22,Overcast,Mild,High,Weak,Yes
D23,Overcast,Cool,Normal,Weak,Yes
D24,Sunny,Mild,High,Weak,Yes
D25,Sunny,Cool,High,Weak,Yes
